,zn,E_HFB,E_PNP,E_PNPAMP
205,"[52, 94]",1148.95252479,1149.56042427,1152.46620171
206,"[28, 42]",600.00747091,600.45762647,603.14736057
207,"[68, 80]",1187.59813191,1189.13623521,1191.62107404
208,"[38, 42]",683.54706159,685.02360668,687.4250143
209,"[50, 50]",829.15545301,829.15545299,831.32907356
210,"[96, 170]",1894.85601452,1896.54163598,1899.36313509
211,"[42, 50]",797.03195409,797.83805193,800.22356136
212,"[86, 150]",1737.61471898,1739.30040202,1741.69948533
213,"[28, 24]",420.73729295,420.70508722,424.02513269
214,"[108, 170]",1977.34080861,1978.52959817,1981.45538178
215,"[100, 190]",1984.98439094,1986.64534186,1991.47002818
216,"[30, 72]",684.17706164,685.06096562,688.16326317
217,"[16, 14]",240.90787203,240.98672399,245.24214854
218,"[106, 172]",1976.06802005,1977.44831912,1980.32357413
219,"[70, 130]",1495.92968555,1497.96601368,1500.121662
220,"[58, 96]",1237.09124184,1238.1267839,1241.03641194
221,"[78, 108]",1463.96284603,1465.44998666,1468.38513352
222,"[18, 40]",405.22898695,407.44658834,408.35069268
223,"[56, 68]",1031.92770199,1033.26122007,1036.26836494
224,"[36, 58]",785.02777522,786.72859591,789.39030448
225,"[62, 130]",1367.46155478,1369.29483879,1371.57170482
226,"[108, 180]",2023.26872456,2024.99218632,2027.42687314
227,"[60, 76]",1123.42287329,1124.99469616,1128.01051209
228,"[20, 46]",456.60253957,456.83080517,458.30392136
229,"[12, 20]",247.90651214,248.29141295,250.48446497
230,"[84, 140]",1685.18769147,1685.83046172,1688.19380634
231,"[82, 138]",1662.55759097,1663.28229006,1665.6197882
232,"[22, 40]",492.92484386,494.80099449,495.73674909
233,"[98, 190]",1960.6919376,1962.61546609,1964.94259494
234,"[62, 66]",1020.03214637,1021.4817181,1024.60202459
235,"[74, 106]",1431.16916912,1432.75508263,1435.79712292
236,"[90, 154]",1788.96683634,1790.44927695,1792.98927232
237,"[98, 152]",1838.2592196,1839.11256715,1841.44100553
238,"[74, 168]",1584.592558,1585.99636978,1588.70793825
239,"[86, 138]",1693.68056903,1694.65113289,1697.13390504
240,"[58, 100]",1251.68237796,1253.06570476,1255.74040816
241,"[20, 18]",314.36361238,314.74862776,316.73878397
242,"[88, 108]",1479.90169601,1481.42602297,1484.20313773
243,"[38, 60]",821.38869831,822.28997479,825.24110208
244,"[72, 100]",1378.01491807,1379.24380792,1381.96461437
245,"[94, 188]",1913.71489532,1915.35686328,1917.36889479
246,"[54, 106]",1202.14855482,1203.45338465,1206.13585503
247,"[44, 54]",842.50370736,843.89879904,846.17665822
248,"[90, 186]",1862.35642258,1863.82989782,1865.29823497
249,"[82, 156]",1705.97794194,1707.66495296,1710.17313689
250,"[48, 70]",996.08210245,996.68527015,999.36973098
251,"[74, 144]",1574.60403252,1576.25548388,1578.67711323
